Time,Rain
2017-01-31 03:37:00,0
2017-01-31 03:32:00,0
2017-01-31 03:27:00,0
2017-01-31 03:22:00,0
2017-01-31 03:17:00,0
2017-01-31 03:12:00,0
2017-01-31 03:07:00,0
2017-01-31 03:02:00,0
2017-01-31 02:57:00,0
2017-01-31 02:52:00,0
2017-01-31 02:47:00,0
2017-01-31 02:42:00,0
2017-01-31 02:37:00,0
2017-01-31 02:32:00,0
2017-01-31 02:27:00,0
2017-01-31 02:22:00,0
2017-01-31 02:17:00,0
2017-01-31 02:12:00,0
2017-01-31 02:07:00,0
2017-01-31 02:02:00,0
2017-01-31 01:57:00,0
2017-01-31 01:52:00,0
2017-01-31 01:47:00,0
2017-01-31 01:42:00,0
2017-01-31 01:37:00,0
2017-01-31 01:32:00,0
2017-01-31 01:27:00,0
2017-01-31 01:22:00,0
2017-01-31 01:17:00,0
2017-01-31 01:12:00,0
2017-01-31 01:07:00,0
2017-01-31 01:02:00,0
2017-01-31 00:57:00,0
2017-01-31 00:52:00,0
2017-01-31 00:47:00,0
2017-01-31 00:42:00,0
2017-01-31 00:37:00,0
2017-01-31 00:32:00,0
2017-01-31 00:27:00,0
2017-01-31 00:22:00,0
2017-01-31 00:17:00,0
2017-01-31 00:12:00,0
2017-01-31 00:07:00,0
2017-01-31 00:02:00,0
2017-01-30 23:57:00,0
2017-01-30 23:52:00,0
2017-01-30 23:47:00,0
2017-01-30 23:42:00,0
2017-01-30 23:37:00,0
2017-01-30 23:32:00,0
2017-01-30 23:27:00,0
2017-01-30 23:22:00,0
2017-01-30 23:17:00,0
2017-01-30 23:12:00,0
2017-01-30 23:07:00,0
2017-01-30 23:02:00,0
2017-01-30 22:57:00,0
2017-01-30 22:52:00,0
2017-01-30 22:47:00,0
2017-01-30 22:42:00,0
2017-01-30 22:37:00,0
2017-01-30 22:32:00,0
2017-01-30 22:27:00,0
2017-01-30 22:22:00,0
2017-01-30 22:17:00,0
2017-01-30 22:12:00,0
2017-01-30 22:07:00,0
2017-01-30 22:02:00,0
2017-01-30 21:57:00,0
2017-01-30 21:52:00,0
2017-01-30 21:47:00,0
2017-01-30 21:42:00,0
2017-01-30 21:37:00,0
2017-01-30 21:32:00,0
2017-01-30 21:27:00,0
2017-01-30 21:22:00,0
2017-01-30 21:17:00,0
2017-01-30 21:12:00,0
2017-01-30 21:07:00,0
2017-01-30 21:02:00,0
2017-01-30 20:57:00,0
2017-01-30 20:52:00,0
2017-01-30 20:47:00,0
2017-01-30 20:42:00,0
2017-01-30 20:37:00,0
2017-01-30 20:32:00,0
2017-01-30 20:27:00,0
2017-01-30 20:22:00,0
2017-01-30 20:17:00,0
2017-01-30 20:12:00,0
2017-01-30 20:07:00,0
2017-01-30 20:02:00,0
2017-01-30 19:57:00,0
2017-01-30 19:52:00,0
2017-01-30 19:47:00,0
2017-01-30 19:42:00,0
2017-01-30 19:37:00,0
2017-01-30 19:32:00,0
2017-01-30 19:27:00,0
2017-01-30 19:22:00,0
2017-01-30 19:17:00,0
2017-01-30 19:12:00,0
2017-01-30 19:07:00,0
2017-01-30 19:02:00,0
2017-01-30 18:57:00,0
2017-01-30 18:52:00,0
2017-01-30 18:47:00,0
2017-01-30 18:42:00,0
2017-01-30 18:37:00,0
2017-01-30 18:32:00,0
2017-01-30 18:27:00,0
2017-01-30 18:22:00,0
2017-01-30 18:17:00,0
2017-01-30 18:12:00,0
2017-01-30 18:07:00,0
2017-01-30 18:02:00,0
2017-01-30 17:57:00,0
2017-01-30 17:52:00,0
2017-01-30 17:47:00,0
2017-01-30 17:42:00,0
2017-01-30 17:37:00,0
2017-01-30 17:32:00,0
2017-01-30 17:27:00,0
2017-01-30 17:22:00,0
2017-01-30 17:17:00,0
2017-01-30 17:12:00,0
2017-01-30 17:07:00,0
2017-01-30 17:02:00,0
2017-01-30 16:57:00,0
2017-01-30 16:52:00,0
2017-01-30 16:47:00,0
2017-01-30 16:42:00,0
2017-01-30 16:37:00,0
2017-01-30 16:32:00,0
2017-01-30 16:27:00,0
2017-01-30 16:22:00,0
2017-01-30 16:17:00,0
2017-01-30 16:12:00,0
2017-01-30 16:07:00,0
2017-01-30 16:02:00,0
2017-01-30 15:57:00,0
2017-01-30 15:52:00,0
2017-01-30 15:47:00,0
2017-01-30 15:42:00,0
2017-01-30 15:37:00,0
2017-01-30 15:32:00,0
2017-01-30 15:27:00,0
2017-01-30 15:22:00,0
2017-01-30 15:17:00,0
2017-01-30 15:12:00,0
2017-01-30 15:07:00,0
2017-01-30 15:02:00,0
2017-01-30 14:57:00,0
2017-01-30 14:52:00,0
2017-01-30 14:47:00,0
2017-01-30 14:42:00,0
2017-01-30 14:37:00,0
2017-01-30 14:32:00,0
2017-01-30 14:27:00,0
2017-01-30 14:22:00,0
2017-01-30 14:17:00,0
2017-01-30 14:12:00,0
2017-01-30 14:07:00,0
2017-01-30 14:02:00,0
2017-01-30 13:57:00,0
2017-01-30 13:52:00,0
2017-01-30 13:47:00,0
2017-01-30 13:42:00,0
2017-01-30 13:37:00,0
2017-01-30 13:32:00,0
2017-01-30 13:27:00,0
2017-01-30 13:22:00,0
2017-01-30 13:17:00,0
2017-01-30 13:12:00,0
2017-01-30 13:07:00,0
2017-01-30 13:02:00,0
2017-01-30 12:57:00,0
2017-01-30 12:52:00,0
2017-01-30 12:47:00,0
2017-01-30 12:42:00,0
2017-01-30 12:37:00,0
2017-01-30 12:32:00,0
2017-01-30 12:27:00,0
2017-01-30 12:22:00,0
2017-01-30 12:17:00,0
2017-01-30 12:12:00,0
2017-01-30 12:07:00,0
2017-01-30 12:02:00,0
2017-01-30 11:57:00,0
2017-01-30 11:52:00,0
2017-01-30 11:47:00,0
2017-01-30 11:42:00,0
2017-01-30 11:37:00,0
2017-01-30 11:32:00,0
2017-01-30 11:27:00,0
2017-01-30 11:22:00,0
2017-01-30 11:17:00,0
2017-01-30 11:12:00,0
2017-01-30 11:07:00,0
2017-01-30 11:02:00,0
2017-01-30 10:57:00,0
2017-01-30 10:52:00,0
2017-01-30 10:47:00,0
2017-01-30 10:42:00,0
2017-01-30 10:37:00,0
2017-01-30 10:32:00,0
2017-01-30 10:27:00,0
2017-01-30 10:22:00,0
2017-01-30 10:17:00,0
2017-01-30 10:12:00,0
2017-01-30 10:07:00,0
2017-01-30 10:02:00,0
2017-01-30 09:57:00,0
2017-01-30 09:52:00,0
2017-01-30 09:47:00,0
2017-01-30 09:42:00,0
2017-01-30 09:37:00,0
2017-01-30 09:32:00,0
2017-01-30 09:27:00,0
2017-01-30 09:22:00,0
2017-01-30 09:17:00,0
2017-01-30 09:12:00,0
2017-01-30 09:07:00,0
2017-01-30 09:02:00,0
2017-01-30 08:57:00,0
2017-01-30 08:52:00,0
2017-01-30 08:47:00,0
2017-01-30 08:42:00,0
2017-01-30 08:37:00,0
2017-01-30 08:32:00,0
2017-01-30 08:27:00,0
2017-01-30 08:22:00,0
2017-01-30 08:17:00,0
2017-01-30 08:12:00,0
2017-01-30 08:07:00,0
2017-01-30 08:02:00,0
2017-01-30 07:57:00,0
2017-01-30 07:52:00,0
2017-01-30 07:47:00,0
2017-01-30 07:42:00,0
2017-01-30 07:37:00,0
2017-01-30 07:32:00,0
2017-01-30 07:27:00,0
2017-01-30 07:22:00,0
2017-01-30 07:17:00,0
2017-01-30 07:12:00,0
2017-01-30 07:07:00,0
2017-01-30 07:02:00,0
2017-01-30 06:57:00,0
2017-01-30 06:52:00,0
2017-01-30 06:47:00,0
2017-01-30 06:42:00,0
2017-01-30 06:37:00,0
2017-01-30 06:32:00,0
2017-01-30 06:27:00,0
2017-01-30 06:22:00,0
2017-01-30 06:17:00,0
2017-01-30 06:12:00,0
2017-01-30 06:07:00,0
2017-01-30 06:02:00,0
2017-01-30 05:57:00,0
2017-01-30 05:52:00,0
2017-01-30 05:47:00,0
2017-01-30 05:42:00,0
2017-01-30 05:37:00,0
2017-01-30 05:32:00,0
2017-01-30 05:27:00,0
2017-01-30 05:22:00,0
2017-01-30 05:17:00,0
2017-01-30 05:12:00,0
2017-01-30 05:07:00,0
2017-01-30 05:02:00,0
2017-01-30 04:57:00,0
2017-01-30 04:52:00,0
2017-01-30 04:47:00,0
2017-01-30 04:42:00,0
2017-01-30 04:37:00,0
2017-01-30 04:32:00,0
2017-01-30 04:27:00,0
2017-01-30 04:22:00,0
2017-01-30 04:17:00,0
2017-01-30 04:12:00,0
2017-01-30 04:07:00,0
2017-01-30 04:02:00,0
2017-01-30 03:57:00,0
2017-01-30 03:52:00,0
2017-01-30 03:47:00,0
2017-01-30 03:42:00,0
2017-01-30 03:37:00,0
2017-01-30 03:32:00,0
2017-01-30 03:27:00,0
2017-01-30 03:22:00,0
2017-01-30 03:17:00,0
2017-01-30 03:12:00,0
2017-01-30 03:07:00,0
2017-01-30 03:02:00,0
2017-01-30 02:57:00,0
2017-01-30 02:52:00,0
2017-01-30 02:47:00,0
2017-01-30 02:42:00,0
2017-01-30 02:37:00,0
2017-01-30 02:32:00,0
2017-01-30 02:27:00,0
2017-01-30 02:22:00,0
2017-01-30 02:17:00,0
2017-01-30 02:12:00,0
2017-01-30 02:07:00,0
2017-01-30 02:02:00,0
2017-01-30 01:57:00,0
2017-01-30 01:52:00,0
2017-01-30 01:47:00,0
2017-01-30 01:42:00,0
2017-01-30 01:37:00,0
2017-01-30 01:32:00,0
2017-01-30 01:27:00,0
2017-01-30 01:22:00,0
2017-01-30 01:17:00,0
2017-01-30 01:12:00,0
2017-01-30 01:07:00,0
2017-01-30 01:02:00,0
2017-01-30 00:57:00,0
2017-01-30 00:52:00,0
2017-01-30 00:47:00,0
2017-01-30 00:42:00,0
2017-01-30 00:37:00,0
2017-01-30 00:32:00,0
2017-01-30 00:27:00,0
2017-01-30 00:22:00,0
2017-01-30 00:17:00,0
2017-01-30 00:12:00,0
2017-01-30 00:07:00,0
2017-01-30 00:02:00,0
2017-01-29 23:57:00,0
2017-01-29 23:52:00,0
2017-01-29 23:47:00,0
2017-01-29 23:42:00,0
2017-01-29 23:37:00,0
2017-01-29 23:32:00,0
2017-01-29 23:27:00,0
2017-01-29 23:22:00,0
2017-01-29 23:17:00,0
2017-01-29 23:12:00,0
2017-01-29 23:07:00,0
2017-01-29 23:02:00,0
2017-01-29 22:57:00,0
2017-01-29 22:52:00,0
2017-01-29 22:47:00,0
2017-01-29 22:42:00,0
2017-01-29 22:37:00,0
2017-01-29 22:32:00,0
2017-01-29 22:27:00,0
2017-01-29 22:22:00,0
2017-01-29 22:17:00,0
2017-01-29 22:12:00,0
2017-01-29 22:07:00,0
2017-01-29 22:02:00,0
2017-01-29 21:57:00,0
2017-01-29 21:52:00,0
2017-01-29 21:47:00,0
2017-01-29 21:42:00,0
2017-01-29 21:37:00,0
2017-01-29 21:32:00,0
2017-01-29 21:27:00,0
2017-01-29 21:22:00,0
2017-01-29 21:17:00,0
2017-01-29 21:12:00,0
2017-01-29 21:07:00,0
2017-01-29 21:02:00,0
2017-01-29 20:57:00,0
2017-01-29 20:52:00,0
2017-01-29 20:47:00,0
2017-01-29 20:42:00,0
2017-01-29 20:37:00,0
2017-01-29 20:32:00,0
